Alive,Susceptible,Infected,Recovered,Dead
105,100,5,0,0
105,100,5,0,0
105,100,5,0,0
105,100,5,0,0
105,99,6,0,0
105,99,6,0,0
105,99,6,0,0
105,99,6,0,0
105,98,7,0,0
105,98,7,0,0
105,98,7,0,0
105,98,7,0,0
105,98,7,0,0
105,98,7,0,0
105,98,7,0,0
105,98,7,0,0
105,98,7,0,0
105,98,7,0,0
105,98,7,0,0
105,97,8,0,0
105,97,8,0,0
105,97,8,0,0
105,97,8,0,0
105,97,8,0,0
105,96,8,1,0
105,96,8,1,0
105,96,8,1,0
105,96,8,1,0
105,96,7,2,0
105,96,7,2,0
105,96,7,2,0
105,96,7,2,0
105,96,7,2,0
105,96,7,2,0
105,96,7,2,0
105,95,8,2,0
105,95,8,2,0
105,95,8,2,0
105,95,8,2,0
105,95,7,3,0
105,95,7,3,0
105,95,7,3,0
105,95,7,3,0
105,95,7,3,0
105,95,6,4,0
105,95,6,4,0
105,95,6,4,0
105,95,6,4,0
105,95,6,4,0
105,95,6,4,0
105,94,7,4,0
105,94,7,4,0
105,94,7,4,0
105,94,7,4,0
105,94,7,4,0
105,94,6,5,0
105,94,6,5,0
105,94,6,5,0
105,94,6,5,0
105,94,6,5,0
105,94,6,5,0
105,94,6,5,0
105,94,6,5,0
105,94,6,5,0
105,94,6,5,0
105,94,6,5,0
105,94,6,5,0
105,94,6,5,0
105,94,6,5,0
105,94,6,5,0
105,93,6,6,0
105,93,6,6,0
105,93,6,6,0
105,93,6,6,0
105,93,6,6,0
105,93,6,6,0
105,93,6,6,0
105,93,6,6,0
105,93,6,6,0
105,93,6,6,0
105,93,6,6,0
105,93,6,6,0
105,93,6,6,0
105,93,6,6,0
105,93,6,6,0
105,93,6,6,0
105,92,7,6,0
105,92,7,6,0
105,92,7,6,0
105,92,7,6,0
105,92,6,7,0
105,92,6,7,0
105,92,6,7,0
105,92,6,7,0
105,92,6,7,0
105,92,6,7,0
105,92,6,7,0
105,92,6,7,0
105,92,6,7,0
105,92,6,7,0
105,91,7,7,0
105,91,7,7,0
105,91,7,7,0
105,91,7,7,0
105,91,7,7,0
105,91,7,7,0
105,91,6,8,0
105,91,6,8,0
105,91,6,8,0
105,91,6,8,0
105,91,6,8,0
105,91,6,8,0
105,91,6,8,0
105,91,6,8,0
105,91,6,8,0
105,90,7,8,0
105,90,7,8,0
105,90,7,8,0
105,90,7,8,0
105,90,7,8,0
105,90,6,9,0
105,89,7,9,0
105,89,7,9,0
105,89,7,9,0
105,88,8,9,0
105,88,8,9,0
105,88,8,9,0
105,88,8,9,0
105,88,8,9,0
105,88,8,9,0
105,88,8,9,0
105,88,8,9,0
105,88,8,9,0
105,88,8,9,0
105,88,8,9,0
105,88,7,10,0
105,88,7,10,0
105,88,7,10,0
105,88,7,10,0
105,88,7,10,0
105,88,7,10,0
105,88,6,11,0
105,88,6,11,0
105,88,6,11,0
105,88,5,12,0
105,88,5,12,0
105,88,5,12,0
105,88,5,12,0
105,88,5,12,0
105,88,5,12,0
105,88,5,12,0
105,88,5,12,0
105,88,5,12,0
105,88,5,12,0
105,88,5,12,0
105,88,5,12,0
105,88,5,12,0
105,88,5,12,0
105,88,5,12,0
105,88,5,12,0
105,88,5,12,0
105,88,5,12,0
105,88,5,12,0
105,88,5,12,0
105,87,6,12,0
105,87,6,12,0
105,87,6,12,0
105,87,6,12,0
105,87,6,12,0
105,87,6,12,0
105,87,6,12,0
105,87,6,12,0
105,87,6,12,0
105,87,6,12,0
105,87,6,12,0
105,87,6,12,0
105,87,6,12,0
105,87,6,12,0
105,87,6,12,0
105,87,6,12,0
105,87,6,12,0
105,87,6,12,0
105,86,7,12,0
105,85,8,12,0
105,85,7,13,0
105,85,7,13,0
105,85,7,13,0
105,85,7,13,0
105,84,8,13,0
105,84,8,13,0
105,84,8,13,0
105,84,8,13,0
105,84,8,13,0
105,84,8,13,0
105,84,8,13,0
105,84,8,13,0
105,84,8,13,0
105,84,8,13,0
105,84,8,13,0
105,84,8,13,0
105,84,8,13,0
104,84,7,13,1
104,84,7,13,1
104,84,6,14,1
104,84,6,14,1
104,84,6,14,1
104,84,6,14,1
103,84,5,14,2
103,84,5,14,2
103,84,5,14,2
103,84,5,14,2
103,84,5,14,2
103,83,6,14,2
103,83,6,14,2
103,83,6,14,2
103,83,6,14,2
103,83,6,14,2
103,83,6,14,2
103,83,6,14,2
103,82,7,14,2
103,82,7,14,2
103,82,7,14,2
103,82,7,14,2
103,82,7,14,2
103,82,7,14,2
103,82,7,14,2
103,82,7,14,2
103,82,7,14,2
103,82,7,14,2
103,82,7,14,2
103,82,7,14,2
103,82,7,14,2
103,82,6,15,2
103,82,6,15,2
103,82,6,15,2
103,82,6,15,2
103,82,6,15,2
103,81,7,15,2
103,81,7,15,2
103,79,8,16,2
103,79,8,16,2
103,79,8,16,2
103,79,8,16,2
103,79,8,16,2
103,79,8,16,2
103,79,8,16,2
103,79,8,16,2
103,79,8,16,2
103,79,8,16,2
103,79,8,16,2
103,79,8,16,2
103,79,8,16,2
103,78,9,16,2
103,78,9,16,2
103,78,9,16,2
103,78,9,16,2
102,78,8,16,3
102,77,9,16,3
102,76,10,16,3
102,76,8,18,3
102,76,8,18,3
102,76,8,18,3
102,76,8,18,3
102,75,9,18,3
102,75,9,18,3
102,75,9,18,3
102,75,9,18,3
102,75,9,18,3
102,75,9,18,3
102,74,10,18,3
102,74,10,18,3
102,74,10,18,3
102,73,10,19,3
102,73,10,19,3
102,73,10,19,3
102,73,10,19,3
102,73,10,19,3
101,73,8,20,4
101,73,8,20,4
101,73,8,20,4
101,73,8,20,4
101,73,8,20,4
100,73,7,20,5
100,73,7,20,5
100,73,7,20,5
100,73,7,20,5
100,73,7,20,5
100,73,7,20,5
100,72,8,20,5
100,72,7,21,5
100,72,7,21,5
100,72,7,21,5
100,72,6,22,5
100,72,6,22,5
100,72,6,22,5
100,72,6,22,5
100,72,6,22,5
100,72,6,22,5
100,72,6,22,5
100,72,6,22,5
100,72,6,22,5
100,72,6,22,5
100,72,6,22,5
100,72,6,22,5
100,72,6,22,5
100,72,6,22,5
100,72,6,22,5
100,72,6,22,5
100,72,5,23,5
100,72,5,23,5
100,72,5,23,5
100,72,5,23,5
100,72,5,23,5
100,72,5,23,5
100,71,6,23,5
100,71,6,23,5
100,71,6,23,5
100,71,6,23,5
100,71,6,23,5
100,71,6,23,5
100,71,6,23,5
100,70,7,23,5
100,70,7,23,5
100,70,7,23,5
100,70,7,23,5
